Attachments,Number,Ticket Type,Creation,WorkOn,Excavator,County,City,Address,Street,Intersection,ExcavatorPhone,TakenBy,Work Done For,Nature of Work,Duration
0,2358689975,Normal,2023-03-27T07:41:56-05:00,2023-03-29T07:45:00-05:00,CITY OF QUITAQUE,BRISCOE,QUITAQUE,,hwy 86,fm 2733,8064551456,city_of_quitaque@hotmail.com,city of quitaque,Repair-Main Water Line,5 hours
0,2358683359,Normal,2023-03-27T04:13:37-05:00,2023-03-29T04:15:00-05:00,"Lighthouse Electric Cooperative, Inc.",BRISCOE,SILVERTON,,County Road H,CR 13,8069832814,chadb@lighthouse.coop,Circle Z Farms,Bore-Auger-Holes,15 days
0,2358250927,Normal,2023-03-23T05:13:03-05:00,2023-03-27T05:15:00-05:00,LUIS DELOSSANTOS,BRISCOE,QUITAQUE,400,E MAIN ST,4TH ST,5125894942,Texas811,LUIS DELOSSANTOS,Other: See Additional Information,48 HOURS
0,2358138705,Normal,2023-03-22T08:06:01-05:00,2023-03-24T08:15:00-05:00,Lighthouse Electric Coop.,BRISCOE,QUITAQUE,,CR LL,CR 32,8069832814,adrianm@lighthouse.coop,John Patrick,Bury-All Utility Services,30 Days
0,2358138057,Normal,2023-03-22T07:38:39-05:00,2023-03-24T07:45:00-05:00,Silverton ,BRISCOE,SILVERTON,,8th St,Broadway ST,8068477022,publicworksdirectorsilverton@yahoo.com,City Of Silverton,Install-Water meter,6 Hours
0,2358027251,Normal,2023-03-21T15:25:16-05:00,2023-03-23T15:30:00-05:00,CAPROCK IRRIGATION SYSTEMS,BRISCOE,SILVERTON,1206,S Pulitzer ST,13Th St,8069838095,terry_caprock@yahoo.com,Garrett Davis,Install culvert,1 Day
0,2358024587,Normal,2023-03-21T10:41:51-05:00,2023-03-23T10:45:00-05:00,"LIGHTHOUSE ELECTRIC COOP., INC.",BRISCOE,SILVERTON,,CR H,CR 13,8069832814,johnnyg@lighthouse.coop,LIGHTHOUSE ,Repair-Electric Service Line,14 days
0,2358017959,Emergency,2023-03-21T06:20:50-05:00,2023-03-21T06:30:00-05:00,Silverton ,BRISCOE,SILVERTON,1100,commerce st,Stalbird ,8068477022,publicworksdirectorsilverton@yahoo.com,City of Silverton,Emer Repair-Sewer Service Line,6hr
0,2357907894,Normal,2023-03-20T11:59:54-05:00,2023-03-22T12:00:00-05:00,Homeowner Mishelle Curry,BRISCOE,SILVERTON,9388,CR F,County Road F,8068477197,Texas811,Self,Fixing fencing,2 days
0,2357904800,Normal,2023-03-20T10:02:56-05:00,2023-03-22T10:15:00-05:00,TXDOT,BRISCOE,SILVERTON,,SH 256,County Rd 27,8064456569,Randy.pointer@txdot.gov,TxDOT,Sign Installation,2 Weeks
0,2357443037,Normal,2023-03-15T04:06:53-05:00,2023-03-17T04:00:00-05:00,FSI,BRISCOE,QUITAQUE,,CR 36,CR II,8064551702,Texas811,KEITH B,Oil & gas-Pipeline Construction,1 DAY
0,2357326838,Normal,2023-03-14T05:31:36-05:00,2023-03-16T05:30:00-05:00,"MCLEAN'S CP INSTALLATION, INC",BRISCOE,SILVERTON,,8th st,Loretta St,8063835047,amarillo1calls@mcleanscp.com,ATMOS,Cathodic Protection,3 days
0,2357325361,Normal,2023-03-14T04:40:26-05:00,2023-03-16T04:45:00-05:00,"MCLEAN'S CP INSTALLATION, INC",BRISCOE,QUITAQUE,,Morris,1st st,8063835047,amarillo1calls@mcleanscp.com,ATMOS,Cathodic Protection,3 days
0,2357215385,Normal,2023-03-13T09:57:26-05:00,2023-03-15T10:00:00-05:00,"Lighthouse Electric Cooperative, Inc.",BRISCOE,QUITAQUE,,CR  25,CR Kk,8069832814,chadb@lighthouse.coop,Saul Cattle,Power Line Construction,15 days
0,2357098391,Normal,2023-03-11T03:03:31-06:00,2023-03-14T19:00:00-05:00,TXDOT,BRISCOE,QUITAQUE,0,FM 599,TX-86,8064456569,Randy.pointer@txdot.gov,TxDOT,Sign installation ,2 weeks
0,2357098282,Cancellation,2023-03-11T01:43:01-06:00,2023-03-11T01:45:01-06:00,TXDOT,BRISCOE,QUITAQUE,,SH 86,FM 1065,8064456569,Randy.pointer@txdot.gov,TxDOT,Sign Installation ,2 Weeks
0,2357098279,Update,2023-03-11T01:42:24-06:00,2023-03-14T19:00:00-05:00,TXDOT,BRISCOE,QUITAQUE,,SH 86,FM 1065,8064456569,Randy.pointer@txdot.gov,TxDOT,Sign Installation ,2 Weeks
0,2356986704,Normal,2023-03-10T03:20:18-06:00,2023-03-14T04:30:00-05:00,CITY OF QUITAQUE,BRISCOE,QUITAQUE,,3rd st,morris st,8064551456,city_of_quitaque@hotmail.com,city of quitaque,Remove-Water Service,4 hours
0,2356881896,Normal,2023-03-09T11:03:29-06:00,2023-03-13T12:00:00-05:00,CHESTER HAWKINS,BRISCOE,QUITAQUE,140,W MAIN ST,1ST  ST ,8062694405,Texas811,CHESTER HAWKINS,Repair-Sewer Service Line,UNKNOWN
0,2356874758,Normal,2023-03-09T05:42:12-06:00,2023-03-13T06:45:00-05:00,TXDOT,BRISCOE,QUITAQUE,,SH 86,FM 1065,8064456569,randy.pointer@txdot.gov,TxDOT,Sign Installation ,2 Weeks
0,2356763461,Normal,2023-03-08T10:00:44-06:00,2023-03-10T10:00:00-06:00,Swisher Electric Cooperative,BRISCOE,SILVERTON,,HWY 284,COUNTY ROAD I,8069953567,tvargas@swisherec.org,SWISHER ELECTRIC,Repair-Electric Service Line,1 DAY
0,2356518418,Normal,2023-03-06T06:16:23-06:00,2023-03-08T06:00:00-06:00,4-G SERVICES,BRISCOE,SILVERTON,,FM 145,CR 3 ,8063887134,Texas811,BERRY ST,Fence-Install,4 WEEKS
0,2356514817,Emergency,2023-03-06T04:34:44-06:00,2023-03-06T04:45:00-06:00,Lighthouse Electric Coop.,BRISCOE,SILVERTON,,CR C,RR 284,8069832814,adrianm@lighthouse.coop,Lighthouse,Emer Power Line Construction,15 days
0,2356071429,Normal,2023-03-01T10:52:05-06:00,2023-03-06T10:45:00-06:00,KEITH BOWLES,BRISCOE,QUITAQUE,11875,CR GG,CR 36,8063463877,Texas811,KEITH BOWLES,Install-UTILITIES,30 DAY
0,2356062880,Normal,2023-03-01T05:28:40-06:00,2023-03-06T05:30:00-06:00,TXDOT,BRISCOE,SILVERTON,0,SH 256,CR 23,8064456569,Randy.pointer@txdot.gov,TxDOT,Sign Installation ,2 weeks
