Attachments,Number,Ticket Type,Creation,WorkOn,Excavator,County,City,Address,Street,Intersection,ExcavatorPhone,TakenBy,Work Done For,Nature of Work,Duration
0,2456059374,Normal,2024-02-29T06:59:38-06:00,2024-03-04T06:45:00-06:00,Lighthouse Electric Coop.,FLOYD,Harmony,,CR 248,CR 55,8069832814,adrianm@lighthouse.coop,Miller 2,Power Line Construction,30 Days
0,2456058927,Normal,2024-02-29T06:38:48-06:00,2024-03-04T06:45:00-06:00,Lighthouse Electric Coop.,FLOYD,Harmony,0,CR 268,FM 378,8069832814,adrianm@lighthouse.coop,Miller 1,Power Line Construction,30 Days
0,2456057249,Normal,2024-02-29T05:26:19-06:00,2024-03-04T05:30:00-06:00,City of Floydada,FLOYD,FLOYDADA,102,W VIRGINIA ST,N MAIN ST,8069832834,Texas811,City of Floydada,Repair-Main Water Line,2 HOURS
0,2455943629,DigUp,2024-02-28T08:31:57-06:00,2024-02-28T08:30:00-06:00,HOLMES PLUMBING,FLOYD,FLOYDADA,907,W GEORGIA ST,SUNSET,8069832251,Texas811,ALBERT DANIELS,DigUp - Cut Telephone line,1 DAYS
0,2455941601,Normal,2024-02-28T07:19:54-06:00,2024-03-01T07:15:00-06:00,City of Floydada,FLOYD,FLOYDADA,1025,GARRISON ST,W OLLIE ST,8069832834,Texas811,City of Floydada,Repair-Water Leak,3 HOURS
0,2455940280,Normal,2024-02-28T06:21:00-06:00,2024-03-01T06:30:00-06:00,"LIGHTHOUSE ELECTRIC COOP., INC.",FLOYD,SOUTH PLAINS,,CR 189,FM 689,8069832814,johnnyg@lighthouse.coop,LIGHTHOUSE,Replace-Pole,30 DAYS
0,2455931935,Normal,2024-02-28T02:06:20-06:00,2024-03-01T02:15:00-06:00,"LIGHTHOUSE ELECTRIC COOP., INC.",FLOYD,SOUTH PLAINS,0,CR 110,TX 207,8069832814,johnnyg@lighthouse.coop,LIGHTHOUSE,Replace-Pole,30 DAYS
0,2455825202,Normal,2024-02-27T09:05:39-06:00,2024-02-29T09:00:00-06:00,Atmos Energy,FLOYD,LOCKNEY,,CR 129,CR 72,8066850383,Texas811,ATMOES ENERGY,Repair-Main Gas Line,2 WEEKS
0,2455822594,Update,2024-02-27T07:28:49-06:00,2024-02-29T07:30:00-06:00,BROOKS CONSTRUCTION CO INC,FLOYD,FLOYDADA,,CR 160,CR 271,4054327547,Texas811,Caprock Rule Telehone,Install-Main Line Fiber Optic ,10 Days
0,2455816331,Normal,2024-02-27T04:05:33-06:00,2024-02-29T04:15:00-06:00,CITY OF FLOYDADA,FLOYD,FLOYDADA,0,E KENTUCKY ST,S 11ST ST,8069832834,Texas811,CITY OF FLOYDADA,Repair-Water Leak,2 HOURS
0,2455793014,Normal,2024-02-26T03:33:23-06:00,2024-02-28T03:45:00-06:00,crone construction,FLOYD,FLOYDADA,1209,south ralls hwy,county rd 147,8067900392,scottcrone301@yahoo.com,Floydada ISD,Bore-Auger-Holes,2 weeks
0,2455707521,Normal,2024-02-26T11:26:09-06:00,2024-02-28T11:30:00-06:00,City of Floydada,FLOYD,FLOYDADA,625,W TENNESSEE ST,S WHITE ST,8069832834,Texas811,City of Floydada,Install-Posts,2 DAYS
0,2455707461,Emergency,2024-02-26T11:21:07-06:00,2024-02-26T11:15:00-06:00,City of Floydada,FLOYD,FLOYDADA,,S MURRY ST,MESQUITE ST,8069832834,Texas811,City of Floydada,Emergency-Electric Repair,2 DAYS
0,2455701008,Normal,2024-02-26T07:21:59-06:00,2024-02-28T07:30:00-06:00,Lighthouse Electric Coop.,FLOYD,FLOYDADA,,FM 37,CR 121,8069832814,Texas811,DL Nutt Farms JV,Bury-All Utility Services,30 days
0,2455482912,Normal,2024-02-23T10:38:50-06:00,2024-02-27T10:45:00-06:00,Lighthouse Electric Coop.,FLOYD,McCoy,,CR 296,CR 71,8069832814,adrianm@lighthouse.coop,Kaden Lackey,Bury-All Utility Services,30 days
0,2455478557,Normal,2024-02-23T06:54:41-06:00,2024-02-27T07:00:00-06:00,SOUTH PLAINS IRRIGATIONS,FLOYD,LOCKNEY,,CR 35,CR 50,8066855667,Texas811,MIKE MATHIS ,Landscaping-Irrigation,24HRS 
0,2455475998,Normal,2024-02-23T05:02:27-06:00,2024-02-27T05:15:00-06:00,Garner Waste Management,FLOYD,FLOYDADA,802,W MISSOURI ST,N TEXAS AVENUE,8064293818,logan.s.garner57@outlook.com,Logan Garner,Sewer Tap,8 hours
0,2455473837,Normal,2024-02-23T03:45:00-06:00,2024-02-27T03:45:00-06:00,"L&W Sunflower, INC",FLOYD,FLOYDADA,,FM 54,CR 71,8067734035,Rlttu66@gmail.com,More or Less Farms,Repair-Water Leak,2 days
0,2455472960,Normal,2024-02-23T03:08:30-06:00,2024-02-27T03:15:00-06:00,VALLEY AG ELECTRIC,FLOYD,AIKEN,,HWY 70,CR 27,8062921428,Texas811,MIKE BUCHANON,Install-Water Line,4 HRS
0,2455364629,Normal,2024-02-22T08:35:29-06:00,2024-02-26T08:30:00-06:00,TITUS MILLER,FLOYD,FLOYDADA,,91,784,8069839808,Texas811,LANDOWNER LATRICA MILLER ,Landscaping-Irrigation,UNKNOWN
0,2455360455,Normal,2024-02-22T05:38:18-06:00,2024-02-26T05:45:00-06:00,TXDOT,FLOYD,FLOYDADA,,FM-28 S,FM-1958,8062818122,adolfo.chavarria@txdot.gov,TXDOT,Bar ditch grading,2 to 3 weeks
0,2455353584,Normal,2024-02-22T02:04:32-06:00,2024-02-26T02:00:00-06:00,"SOUTH PLAINS IRRIGATION, INC.",FLOYD,LOCKNEY,,FM 2286,FM 2301,8062853330,zimman2004@yahoo.com,Mark Ford,Replace pump stand,24 hrs
0,2455352779,Normal,2024-02-22T01:20:02-06:00,2024-02-26T01:30:00-06:00,"SOUTH PLAINS IRRIGATION, INC.",FLOYD,LOCKNEY,,FM 2301,FM 2286,8062853330,zimman2004@yahoo.com,Bernie Ford,Replace pump stand,24 hrs
0,2455248337,Normal,2024-02-21T10:00:11-06:00,2024-02-23T10:00:00-06:00,"L&W Sunflower, INC",FLOYD,FLOYDADA,,FM 378,CR 338,8067734035,Rlttu66@gmail.com,More or Less Farms,Dig Up-Damaged Water Line,1 day
0,2455241935,Update,2024-02-21T05:31:25-06:00,2024-02-23T05:45:25-06:00,SOUTH PLAINS IRRIGATION INC.,FLOYD,FLOYDADA,318,FM 3111,316 and FM 3111,8062853330,michael.carter54@gmail.com,John Smith,Install-Water Line,2 weeks
0,2455241900,Update,2024-02-21T05:30:36-06:00,2024-02-23T05:30:35-06:00,SOUTH PLAINS IRRIGATION INC.,FLOYD,LOCKNEY,318,FM 3111,FM 3111 and 318,8062853330,michael.carter54@gmail.com,John Smith,Install-Water Line,2 weeks
0,2455241883,Update,2024-02-21T05:29:58-06:00,2024-02-23T05:30:58-06:00,SOUTH PLAINS IRRIGATION INC.,FLOYD,LOCKNEY,318,FM 3111,318 and FM 3111,8062853330,michael.carter54@gmail.com,John Smith,Install-Water Line,2 weeks
0,2455132421,Normal,2024-02-20T15:43:06-06:00,2024-02-22T15:30:00-06:00,"L&W Sunflower, INC",FLOYD,FLOYDADA,0,FM-378,cr 338,8067734035,Rlttu66@gmail.com,"More or Less Farms, Inc",Capping Water Line,1 day
0,2455006486,Normal,2024-02-19T06:30:42-06:00,2024-02-21T18:00:00-06:00,HOLMES PLUMBING,FLOYD,FLOYDADA,907,W GEORGIA ST,SUNSET,8069832251,Texas811,ALBERT DANIELS,REPL SWR LINE,1 DAYS
0,2455003984,Normal,2024-02-19T04:57:00-06:00,2024-02-21T18:00:00-06:00,"LIGHTHOUSE ELECTRIC COOP., INC.",FLOYD,FLOYDADA,,CR 318,CR 103,8069832814,johnnyg@lighthouse.coop,LIGHTHOUSE,Repair-Main Electric Line,30 DAYS
0,2455002157,Cancellation,2024-02-19T04:08:08-06:00,2024-02-19T04:15:00-06:00,"LIGHTHOUSE ELECTRIC COOP., INC.",FLOYD,FLOYDADA,0,CR 318,CR 103,8069832814,Texas811,LIGHTHOUSE,Repair-Main Electric Line,14 DAYS
0,2454791327,Update,2024-02-16T10:51:37-06:00,2024-02-21T11:00:37-06:00,All State Fence Company,FLOYD,LOCKNEY,,SW 5th ST,W Popular St,8067993729,vanessa@allstate-fence.com,Lockney ISD,Fence-Install,14 days 
0,2454783334,Normal,2024-02-16T04:23:49-06:00,2024-02-21T04:30:00-06:00,"LIGHTHOUSE ELECTRIC COOP., INC.",FLOYD,FLOYDADA,0,CR 318,CR 103,8069832814,johnnyg@lighthouse.coop,LIGHTHOUSE,Repair-Main Electric Line,14 DAYS
0,2454669201,Normal,2024-02-15T05:31:00-06:00,2024-02-20T05:30:00-06:00,Homeowner scott crone,FLOYD,FLOYDADA,916,GARRISON ST,burrus st,8067900392,Texas811,Self,sewer line,2 weeks
0,2454662961,Update,2024-02-15T01:51:09-06:00,2024-02-20T02:00:09-06:00,TX DOT,FLOYD,DOUGHERTY,,FM 1958,FM 28,8062243056,hector.osuna@txdot.gov,TX DOT,CLEANING BAR DITCHES,1 WEEK
0,2454551216,Normal,2024-02-14T05:08:26-06:00,2024-02-16T05:00:00-06:00,Atmos Energy,FLOYD,AIKEN,,US-70,CR 45,8066850383,Texas811,Atmos Energy,Repair Gas Line,2 Weeks
0,2454323672,Normal,2024-02-12T12:26:24-06:00,2024-02-14T12:30:00-06:00,"SOUTH PLAINS IRRIGATION, INC.",FLOYD,LOCKNEY,,CR-72,Tx-207,8062853330,zimman2010@yahoo.com,Dane Sanders,"Concrete Foundation,Water and Electric Service",8 Days
0,2454318801,Normal,2024-02-12T08:36:20-06:00,2024-02-14T08:30:00-06:00,MEDINA UTILITY SERVICES,FLOYD,LOCKNEY,,US-70,CR 67,8064419319,Texas811,ATMOS ENERGY,REPAIR GAS MAIN,2 WKS
0,2454312003,Normal,2024-02-12T04:54:02-06:00,2024-02-14T05:00:00-06:00,J TUCKER CONSTRUCTION,FLOYD,LOCKNEY,405,E BRYANT ST,S E 4TH ST,9035270399,MARIA@JTUCKERCONSTRUCTION.COM,ATT,Bury-See Additional Information,1 WEEK
0,2454097581,Normal,2024-02-09T09:56:24-06:00,2024-02-13T10:00:00-06:00,All State Fence Company,FLOYD,LOCKNEY,,SW 5th ST,W Popular St,8067993729,vanessa@allstate-fence.com,Lockney ISD,Fence-Install,14 days 
0,2454091090,Normal,2024-02-09T04:33:59-06:00,2024-02-13T04:15:00-06:00,BROOKS CONSTRUCTION CO INC,FLOYD,FLOYDADA,,CR 160,CR 271,4054327547,Texas811,Caprock Rule Telehone,Install-Main Line Fiber Optic ,10 Days
0,2453984837,Normal,2024-02-08T13:47:00-06:00,2024-02-12T13:45:00-06:00,Lighthouse Electric Coop.,FLOYD,South Plains,,CR 189,CR 72,8069832814,adrianm@lighthouse.coop,Clear Horizon,Bury-All Utility Services,30 days
0,2453981375,Normal,2024-02-08T09:00:18-06:00,2024-02-12T09:00:00-06:00,CAPROCK IRRIGATION SYSTEMS,FLOYD,FLOYDADA,,FM 784,CR 129,8069838095,terry_caprock@yahoo.com ,Zach Nutt,water line,4 days 
